car_ID,CarName,fueltype,carbody,enginesize,horsepower,curbweight,price
1,alfa-romero giulia,gas,convertible,130,111,2548,13495
2,alfa-romero stelvio,gas,convertible,130,111,2548,16500
3,alfa-romero Quadrifoglio,gas,hatchback,152,154,2823,16500
4,audi 100 ls,gas,sedan,109,102,2337,13950
5,audi 100ls,gas,sedan,136,115,2824,17450
6,audi fox,gas,sedan,136,110,2507,15250
7,audi 100ls,gas,sedan,136,110,2844,17710
8,audi 5000,gas,wagon,136,110,2954,18920
9,audi 4000,gas,sedan,131,140,3086,23875
10,audi 5000s (diesel),gas,hatchback,131,160,3053,17859.167
11,bmw 320i,gas,sedan,108,101,2395,16430
12,bmw 320i,gas,sedan,108,101,2395,16925
13,bmw x1,gas,sedan,164,121,2710,20970
14,bmw x3,gas,sedan,164,121,2765,21105
15,bmw z4,gas,sedan,164,121,3055,24565
16,bmw x4,gas,sedan,209,182,3230,30760
17,bmw x5,gas,sedan,209,182,3380,41315
18,bmw x3,gas,sedan,209,182,3505,36880
19,chevrolet impala,gas,hatchback,61,48,1488,5151
20,chevrolet monte carlo,gas,hatchback,90,70,1874,6295
21,chevrolet vega 2300,gas,sedan,90,70,1909,6575
22,dodge rampage,gas,hatchback,90,68,1876,5572
23,dodge challenger se,gas,hatchback,90,68,1876,6377
24,dodge d200,gas,hatchback,98,102,2128,7957
25,dodge monaco (sw),gas,hatchback,90,68,1967,6229
26,dodge colt hardtop,gas,sedan,90,68,1989,6692
27,dodge colt (sw),gas,sedan,90,68,1989,7609
28,dodge coronet custom,gas,sedan,98,102,2191,8558
29,dodge dart custom,gas,wagon,122,88,2535,8921
30,dodge coronet custom (sw),gas,hatchback,156,145,2811,12964
31,honda civic,gas,hatchback,92,58,1713,6479
32,honda civic cvcc,gas,hatchback,92,76,1819,6855
33,honda civic,gas,hatchback,79,60,1837,5399
34,honda accord cvcc,gas,hatchback,92,76,1940,6529
35,honda civic cvcc,gas,hatchback,92,76,1956,7129
36,honda accord lx,gas,sedan,92,76,2010,7295
37,honda civic 1500 gl,gas,wagon,92,76,2024,7295
38,honda accord,gas,hatchback,110,86,2236,7895
39,honda civic 1300,gas,hatchback,110,86,2289,9095
40,honda prelude,gas,sedan,110,86,2304,8845
41,honda accord,gas,sedan,110,86,2372,10295
42,honda civic,gas,sedan,110,101,2465,12945
43,honda civic (auto),gas,sedan,110,100,2293,10345
44,isuzu MU-X,gas,sedan,111,78,2337,6785
45,isuzu D-Max ,gas,sedan,90,70,1874,8916.5
46,isuzu D-Max V-Cross,gas,sedan,90,70,1909,8916.5
47,isuzu D-Max ,gas,hatchback,119,90,2734,11048
48,jaguar xj,gas,sedan,258,176,4066,32250
49,jaguar xf,gas,sedan,258,176,4066,35550
50,jaguar xk,gas,sedan,326,262,3950,36000
51,maxda rx3,gas,hatchback,91,68,1890,5195
52,maxda glc deluxe,gas,hatchback,91,68,1900,6095
53,mazda rx2 coupe,gas,hatchback,91,68,1905,6795
54,mazda rx-4,gas,sedan,91,68,1945,6695
55,mazda glc deluxe,gas,sedan,91,68,1950,7395
56,mazda 626,gas,hatchback,70,101,2380,10945
57,mazda glc,gas,hatchback,70,101,2380,11845
58,mazda rx-7 gs,gas,hatchback,70,101,2385,13645
59,mazda glc 4,gas,hatchback,80,135,2500,15645
60,mazda 626,gas,hatchback,122,84,2385,8845
61,mazda glc custom l,gas,sedan,122,84,2410,8495
62,mazda glc custom,gas,hatchback,122,84,2385,10595
63,mazda rx-4,gas,sedan,122,84,2410,10245
64,mazda glc deluxe,diesel,sedan,122,64,2443,10795
65,mazda 626,gas,hatchback,122,84,2425,11245
66,mazda glc,gas,sedan,140,120,2670,18280
67,mazda rx-7 gs,diesel,sedan,134,72,2700,18344
68,buick electra 225 custom,diesel,sedan,183,123,3515,25552
69,buick century luxus (sw),diesel,wagon,183,123,3750,28248
70,buick century,diesel,hardtop,183,123,3495,28176
71,buick skyhawk,diesel,sedan,183,123,3770,31600
72,buick opel isuzu deluxe,gas,sedan,234,155,3740,34184
73,buick skylark,gas,convertible,234,155,3685,35056
74,buick century special,gas,sedan,308,184,3900,40960
75,buick regal sport coupe (turbo),gas,hardtop,304,184,3715,45400
76,mercury cougar,gas,hatchback,140,175,2910,16503
77,mitsubishi mirage,gas,hatchback,92,68,1918,5389
78,mitsubishi lancer,gas,hatchback,92,68,1944,6189
79,mitsubishi outlander,gas,hatchback,92,68,2004,6669
80,mitsubishi g4,gas,hatchback,98,102,2145,7689
81,mitsubishi mirage g4,gas,hatchback,110,116,2370,9959
82,mitsubishi g4,gas,hatchback,122,88,2328,8499
83,mitsubishi outlander,gas,hatchback,156,145,2833,12629
84,mitsubishi g4,gas,hatchback,156,145,2921,14869
85,mitsubishi mirage g4,gas,hatchback,156,145,2926,14489
86,mitsubishi montero,gas,sedan,122,88,2365,6989
87,mitsubishi pajero,gas,sedan,122,88,2405,8189
88,mitsubishi outlander,gas,sedan,110,116,2403,9279
89,mitsubishi mirage g4,gas,sedan,110,116,2403,9279
90,Nissan versa,gas,sedan,97,69,1889,5499
91,nissan gt-r,diesel,sedan,103,55,2017,7099
92,nissan rogue,gas,sedan,97,69,1918,6649
93,nissan latio,gas,sedan,97,69,1938,6849
94,nissan titan,gas,wagon,97,69,2024,7349
95,nissan leaf,gas,sedan,97,69,1951,7299
96,nissan juke,gas,hatchback,97,69,2028,7799
97,nissan latio,gas,sedan,97,69,1971,7499
98,nissan note,gas,wagon,97,69,2037,7999
99,nissan clipper,gas,hardtop,97,69,2008,8249
100,nissan rogue,gas,hatchback,120,97,2324,8949
101,nissan nv200,gas,sedan,120,97,2302,9549
102,nissan dayz,gas,sedan,181,152,3095,13499
103,nissan fuga,gas,wagon,181,152,3296,14399
104,nissan otti,gas,sedan,181,152,3060,13499
105,nissan teana,gas,hatchback,181,160,3071,17199
106,nissan kicks,gas,hatchback,181,200,3139,19699
107,nissan clipper,gas,hatchback,181,160,3139,18399
108,peugeot 504,gas,sedan,120,97,3020,11900
109,peugeot 304,diesel,sedan,152,95,3197,13200
110,peugeot 504 (sw),gas,wagon,120,97,3230,12440
111,peugeot 504,diesel,wagon,152,95,3430,13860
112,peugeot 504,gas,sedan,120,95,3075,15580
113,peugeot 604sl,diesel,sedan,152,95,3252,16900
114,peugeot 504,gas,wagon,120,95,3285,16695
115,peugeot 505s turbo diesel,diesel,wagon,152,95,3485,17075
116,peugeot 504,gas,sedan,120,97,3075,16630
117,peugeot 504,diesel,sedan,152,95,3252,17950
118,peugeot 604sl,gas,sedan,134,142,3130,18150
119,plymouth fury iii,gas,hatchback,90,68,1918,5572
120,plymouth cricket,gas,hatchback,98,102,2128,7957
121,plymouth fury iii,gas,hatchback,90,68,1967,6229
122,plymouth satellite custom (sw),gas,sedan,90,68,1989,6692
123,plymouth fury gran sedan,gas,sedan,98,68,2191,7609
124,plymouth valiant,gas,wagon,122,88,2535,8921
125,plymouth duster,gas,hatchback,156,145,2818,12764
126,porsche macan,gas,hatchback,151,143,2778,22018
127,porcshce panamera,gas,hardtop,194,207,2756,32528
128,porsche cayenne,gas,hardtop,194,207,2756,34028
129,porsche boxter,gas,convertible,194,207,2800,37028
130,porsche cayenne,gas,hatchback,203,288,3366,31400.5
131,renault 12tl,gas,wagon,132,90,2579,9295
132,renault 5 gtl,gas,hatchback,132,90,2460,9895
133,saab 99e,gas,hatchback,121,110,2658,11850
134,saab 99le,gas,sedan,121,110,2695,12170
135,saab 99le,gas,hatchback,121,110,2707,15040
136,saab 99gle,gas,sedan,121,110,2758,15510
137,saab 99gle,gas,hatchback,121,160,2808,18150
138,saab 99e,gas,sedan,121,160,2847,18620
139,subaru,gas,hatchback,97,69,2050,5118
140,subaru dl,gas,hatchback,108,73,2120,7053
141,subaru dl,gas,hatchback,108,73,2240,7603
142,subaru,gas,sedan,108,82,2145,7126
143,subaru brz,gas,sedan,108,82,2190,7775
144,subaru baja,gas,sedan,108,94,2340,9960
145,subaru r1,gas,sedan,108,82,2385,9233
146,subaru r2,gas,sedan,108,111,2510,11259
147,subaru trezia,gas,wagon,108,82,2290,7463
148,subaru tribeca,gas,wagon,108,94,2455,10198
149,subaru dl,gas,wagon,108,82,2420,8013
150,subaru dl,gas,wagon,108,111,2650,11694
151,toyota corona mark ii,gas,hatchback,92,62,1985,5348
152,toyota corona,gas,hatchback,92,62,2040,6338
153,toyota corolla 1200,gas,hatchback,92,62,2015,6488
154,toyota corona hardtop,gas,wagon,92,62,2280,6918
155,toyota corolla 1600 (sw),gas,wagon,92,62,2290,7898
156,toyota carina,gas,wagon,92,62,3110,8778
157,toyota mark ii,gas,sedan,98,70,2081,6938
158,toyota corolla 1200,gas,hatchback,98,70,2109,7198
159,toyota corona,diesel,sedan,110,56,2275,7898
160,toyota corolla,diesel,hatchback,110,56,2275,7788
161,toyota corona,gas,sedan,98,70,2094,7738
162,toyota corolla,gas,hatchback,98,70,2122,8358
163,toyota mark ii,gas,sedan,98,70,2140,9258
164,toyota corolla liftback,gas,sedan,98,70,2169,8058
165,toyota corona,gas,hatchback,98,70,2204,8238
166,toyota celica gt liftback,gas,sedan,98,112,2265,9298
167,toyota corolla tercel,gas,hatchback,98,112,2300,9538
168,toyota corona liftback,gas,hardtop,146,116,2540,8449
169,toyota corolla,gas,hardtop,146,116,2536,9639
170,toyota starlet,gas,hatchback,146,116,2551,9989
171,toyota tercel,gas,hardtop,146,116,2679,11199
172,toyota corolla,gas,hatchback,146,116,2714,11549
173,toyota cressida,gas,convertible,146,116,2975,17669
174,toyota corolla,gas,sedan,122,92,2326,8948
175,toyota celica gt,diesel,sedan,110,73,2480,10698
176,toyota corona,gas,hatchback,122,92,2414,9988
177,toyota corolla,gas,sedan,122,92,2414,10898
178,toyota mark ii,gas,hatchback,122,92,2458,11248
179,toyota corolla liftback,gas,hatchback,171,161,2976,16558
180,toyota corona,gas,hatchback,171,161,3016,15998
181,toyota starlet,gas,sedan,171,156,3131,15690
182,toyouta tercel,gas,wagon,161,156,3151,15750
183,vokswagen rabbit,diesel,sedan,97,52,2261,7775
184,volkswagen 1131 deluxe sedan,gas,sedan,109,85,2209,7975
185,volkswagen model 111,diesel,sedan,97,52,2264,7995
186,volkswagen type 3,gas,sedan,109,85,2212,8195
187,volkswagen 411 (sw),gas,sedan,109,85,2275,8495
188,volkswagen super beetle,diesel,sedan,97,68,2319,9495
189,volkswagen dasher,gas,sedan,109,100,2300,9995
190,vw dasher,gas,convertible,109,90,2254,11595
191,vw rabbit,gas,hatchback,109,90,2221,9980
192,volkswagen rabbit,gas,sedan,136,110,2661,13295
193,volkswagen rabbit custom,diesel,sedan,97,68,2579,13845
194,volkswagen dasher,gas,wagon,109,88,2563,12290
195,volvo 145e (sw),gas,sedan,141,114,2912,12940
196,volvo 144ea,gas,wagon,141,114,3034,13415
197,volvo 244dl,gas,sedan,141,114,2935,15985
198,volvo 245,gas,wagon,141,114,3042,16515
199,volvo 264gl,gas,sedan,130,162,3045,18420
200,volvo diesel,gas,wagon,130,162,3157,18950
201,volvo 145e (sw),gas,sedan,141,114,2952,16845
202,volvo 144ea,gas,sedan,141,160,3049,19045
203,volvo 244dl,gas,sedan,173,134,3012,21485
204,volvo 246,diesel,sedan,145,106,3217,22470
205,volvo 264gl,gas,sedan,141,114,3062,22625
206,gas,sedan,2300,,,,
207,,,,,,,
208,,,,,,,
209,diesel,sedan,2300,,,,
210,gas,hatchback,2300,,,,
211,gas,hatchback,2300,,,,
212,gas,wagon,2300,,,,
213,gas,hatchback,2300,,,,
214,gas,convertible,2300,,,,
215,gas,sedan,2300,,,,
216,Cobalt,gas,sedan,130,100,2300,
217,matiz,gas,wagon,130,100,2300,13928.927970328476
218,Cobalt,gas,sedan,130,100,2300,13928
219,Cobalt,gas,convertible,130,100,2300,13000
220,Cobalt,gas,hatchback,130,100,2300,10000
221,mers,gas,sedan,1222,122,9,55555